answerID,questionID,correctness,answerText,answerReason,imageFile,xposition,yposition,dropBoxHeightAdjustment,dropBoxWidthAdjustment,dropBoxColor
15,3,1,magnet,"Although gravity is pulling all objects (keys, watch, lighter, Ringo's ring, etc.) toward the center of the earth, at this moment the magnetism is stronger, and sets the objects in motion (including Ringo’s arm) until they meet an external resistance- the wall or the ceiling. The wall and ceiling push back against the objects with a reactive force just strong enough to balance the pull of the magnet. Therefore, the objects don't puncture through the barriers (much to the villains' dismay, since they want to recover Ringo's ring!).

The correct answer is magnetism. The pull of the electromagnet switched on by the villains is strong enough to overcome the attraction of gravity on Ringo's arm and cause it to move upward, over his head, until it meets the obstructing ceiling. The ceiling then pushes back against his hand with an equal and opposite reactive force (see the module on Newton's Laws of Motion), which prevents his hand from punching through the ceiling (much to the villains' dismay, since they want to get his ring).
",,,,,,
16,4,0,Gravity,"Gravity was not keeping him from falling through before, it is causing him to fall through now!",,,,,,
17,4,0,Friction,"Friction was not keeping Ringo from falling through the floor before. If anything, the friction between his feet and the floor may have kept him from sliding sideways, but that is all.",,,,,,
18,4,0,Resistance,"Resistance was not the force which kept Ringo from falling through the floor, as we define the word. Resistance is a force which opposes a movement, for example a weight added to your arm as you lift it. Resistance might also be an interfering force applied by another person, for example someone pushing the opposite way you are during an arm wrestle. In both these cases, the resisting force is an ACTIVE force. (Hint, Hint)",,,,,,
38,7,1,N/A,"Since the flute player has raised (flexed) his two lower extremities, the center of gravity also goes up. It doesn't matter that he is sitting on the floor. What does matter is how his position changed from the anatomical position.",,544.62,692.04,0.158730159,0.2,
39,7,0,N/A,"Since his movement has not unevenly moved mass to the right of his midline, the COG has not moved to the right.",,897.03,499.79,0.119047619,0.166666667,
40,7,1,N/A,"The movement of his lower extremities into hip flexion has brought mass forward, therefore his COG has moved anteriorly.",,1008.39,246.51,0.119047619,0.166666667,
41,7,0,N/A,"It is true that his COG has drooped in space because he is now sitting on the floor, but this movement did not lower the COG within his body. Think of how the movement of his extremities altered the distribution of mass from the anatomical position and",,546.15,127.5,0.119047619,0.166666667,
42,7,0,N/A,"Since his movement has not unevenly moved mass to the left of his midline, the COG has not moved to the left.",,546.15,127.5,0.119047619,0.166666667,
43,7,0,N/A,"Since his movement has not unevenly moved mass to the left of his midline, the COG has not moved to the left.",,546.15,127.5,0.119047619,0.166666667,
44,7,0,N/A,"No mass has moved posteriorly in going from anatomical position to this position, so the COG has not moved posteriorly.",,546.15,127.5,0.119047619,0.166666667,
45,12,1,vertical,"CORRECT!!! This vector, when applied to the COG, points toward the center of the earth.",/static/img/biomechanicshelp/LOGdown.png,36,76.84,0.475083056,0.342939481,#000000
46,12,0,horizontal,"Incorrect! This vector, when applied to the COG, does not point toward the center of the earth, which the LOG must.",/static/img/biomechanicshelp/LOGhoriz.png,0,0,1,1,#000000
47,12,0,N/A,"Incorrect! This vector, when applied to the COG, does not point toward the center of the earth. ",/static/img/biomechanicshelp/LOGdiag.png,0,0,1,1,#000000
48,15,0,Increased mass from suitcase,"The briefcase in his hand is actually lowering his COG, therefore making him more stable (since it is then harder to ""tip"" the LOG outside the base of support). It may also be counterbalancing a move of the COG to the left due to the flexed extremities, by adding mass on the right. This counterbalancing helps keep the LOG well within the base of support. (Granted, it may make him dynamically less stable, by preventing his right arm from moving quickly to help him catch his balance.)",,,,,,
49,15,0,Raised COG from flexed extremities,"One of the reasons he is in unstable equilibrium is that by flexing his two left extremities, he has raised his COG. The higher the COG, the easier it is to ""tip"" the LOG outside the base of support. (This raising of the COG is somewhat counteracted by the briefcase in his right hand, which as added mass tends to lower the COG.)",,,,,,
50,15,1,LOG moved anteriorly and left to edge of BOS,"The flexed left arm and leg have brought mass forward (anteriorly) and to the left, so that the COG, and therefore also the LOG, are moved in those directions nearer to the edge of the base of support.
The nearer the LOG is to the edge of the base of support, the easier it is to cause it to fall outside it by a push or pull (force).
",,,,,,
51,15,0,Decreased friction with only one foot on carpet,"Friction does not cause or prevent unstable equilibrium. An object or person in stable equilibrium, even if on a very slippery surface (low friction) will still stay balanced unless acted upon by a large external force (for example, sitting on the surface of a frozen pond).
There is a more important effect which raising one foot off the carpet has...
",,,,,,
52,15,1,Decreased Base of Support (BOS) due to lifted left foot,"Reduced base of support (BOS) is probably the most important reason why the mad scientist is in unstable equilibrium. Instead of the large BOS given by two feet spread apart, he is relying on one foot to provide a BOS. It is much easier in this stance for the LOG to fall outside the BOS. (One foot gives about one fourth the BOS of two feet a shoulder's width apart.)
It is fortunate he does not stand like this all the time...
",,,,,,
53,16,0,"lowered COG, expanded BOS, LOG well inside BOS","Nope! The COG has not been lowered inside his body, but raised.. ",,,,,,
54,16,0,"COG nearer to floor, large BOS, LOG outside BOS","Nope! The LOG is not outside the BOS. If it were, John would be falling over. ",,,,,,
55,16,1,"COG nearer to earth, big BOS, LOG well inside BOS","YES!!! His COG is nearer the earth (so it is harder to ""tip * LOG), he has a much bigger BOS being on hands and knees (and toes!), and his LOG is well within the BOS. That finishes equilibrium! ",,,,,,
58,18,1,Friction,Correct!,,,,,,
59,18,0,Mass,Incorrect,,,,,,
60,18,0,Gravity,Incorrect,,,,,,
61,18,0,Velocity,Incorrect,,,,,,
62,18,1,Reactive Forces,Correct,,,,,,
63,18,0,Magnetism,Incorrect,,,,,,
64,18,0,Resistance,Incorrect,,,,,,
65,18,1,Muscle Contraction,Correct,,,,,,
66,18,0,Taut ligaments,Incorrect,,,,,,
67,18,0,Line of Gravity,Incorrect,,,,,,
68,21,0,Friction of kettles on snow,Incorrect,,,,,,
69,21,0,Kettles’ line of gravity within base of support,Incorrect,,,,,,
70,21,1,Reactive force of snow on kettles,Correct,,,,,,
71,21,0,Kettles are in stable equilibrium,Incorrect,,,,,,
72,22,1,LOG outside BOS,Correct,,,,,,
73,22,1,line of gravity outside base of support,correct,,,,,,
74,24,0,Waxed their skis to reduce friction,Incorrect,,,,,,
75,24,1,Moved their COG's closer to their DOS's,Correct,,,,,,
76,24,0,Moved their LOG'S to the skis' edges,Incorrect,,,,,,
77,24,1,Increased BOS with skis and poles,Correct,,,,,,
78,4,1,Reactive Force,"The reactive force of the floor, pushing back against Ringo and his drums, is what WAS holding him up. The reactive force of the floor against Ringo is equal in magnitude and opposite in direction from the force created by gravity, pulling him and his drums toward the center of the earth. As long as the floor was intact, Ringo stayed where he was. As soon as the villains cut a large hole in the floor, however, the boards could no longer apply a reactive force, and gravity quickly won the contest! Without a base to sit on, there was nothing Ringo could do, no matter how much muscle contraction he tried to exert!",,,,,,
80,17,1,N/A,"Raising the upper extremities raises the COG.. The left arm raised alone would move the COG also alittle to the left, but this movement is cancelled out by the right arm also moving upward.",,353,493.52,0.158069884,0.243654822,
